UOM_ID,UOM_NAME,UOM_ISO,UOM_SAP,UOM_DIMENSION,UOM_NUMERATOR,UOM_DENOMINATOR,UOM_ROUNDING,UOM_BASE
2X,Meter/Minute ( m/min ),2X,2X,SPEED,1666667,100000000,0,false
MTS,Meter/second ( m/s ),MTS,M/S,SPEED,1,1,0,true
C16,Millimeter/second ( mm/s ),C16,MMS,SPEED,1,1000,0,false
C22,Millinewton/meter ( mN/m ),C22,MNM,SURFTE,1,1000,0,false
4P,Newton/meter ( N/m ),4P,NM,SURFTE,1,1,0,true
CEL,Degrees Celsius ( °C ),CEL,GC,TEMP,27415,100,0,false
FAH,Fahrenheit ( °F ),FAH,FA,TEMP,2559278,10000,0,false
KEL,Kelvin ( K ),KEL,K,TEMP,1,1,0,true
DAY,Days ( Days ),DAY,TAG,TIME,86400,1,0,false
HUR,Hour ( h ),HUR,H,TIME,3600,1,0,false
B98,Microsecond ( µs ),B98,MIS,TIME,1,1000000,0,false
C26,Millisecond ( ms ),C26,MS,TIME,1,1000,0,false
MIN,Minute ( min ),MIN,MIN,TIME,60,1,0,false
MON,Months ( Months ),MON,MON,TIME,2629700,1,0,false
C47,Nanosecond ( ns ),C47,NS,TIME,1,1000000000,0,false
SEC,Second ( s ),SEC,S,TIME,1,1,0,true
WEE,Weeks ( Weeks ),WEE,WCH,TIME,604800,1,0,false
ANN,Years ( yr ),ANN,JHR,TIME,31556950,1,0,false
CLT,Centiliter ( Cl ),CLT,CTL,VOLUME,1,100,0,false
CMQ,Cubic centimeter ( cm3 ),CMQ,CCM,VOLUME,1,1000,0,false
DMQ,Cubic decimeter ( dm3 ),DMQ,CDM,VOLUME,1,1,0,false
FTQ,Cubic foot ( ft3 ),FTQ,FT3,VOLUME,28316846,1000000000,0,false
INQ,Cubic inch ( Inch3 ),INQ,IN3,VOLUME,16387,1000000000,0,false
MTQ,Cubic meter ( m3 ),MTQ,M3,VOLUME,1,1,0,true
MMQ,Cubic millimeter ( mm3 ),MMQ,MMQ,VOLUME,1,1000000000,0,false
YDQ,Cubic yard ( yd3 ),YDQ,YD3,VOLUME,764554857,1000000000,0,false
OZA,Fluid Ounce US ( foz US ),OZA,OZA,VOLUME,29573,1000000000,0,false
HLT,Hectoliter ( hl ),HLT,HL,VOLUME,1,10,0,false
LTR,Liter ( l ),LTR,L,VOLUME,1,1000,0,false
4G,Microliter ( µl ),4G,4G,VOLUME,1,1000000000,0,false
MLT,Milliliter ( ml ),MLT,ML,VOLUME,1,1000000,0,false
PT,Pint US liquid ( pt US ),PT,PT,VOLUME,55061,100000000,0,false
QTL,Quart US liquid ( qt US ),QTL,QT,VOLUME,110122,100000000,0,false
GLL,US gallon ( gal US ),GLL,GLL,VOLUME,440488,100000000,0,false
2J,Cubic centimeter/second ( cm3/s ),2J,C3S,VOLFLO,1,1000000,0,false
MQH,Cubic meter/Hour ( m3/h ),MQH,MQH,VOLFLO,277778,1000000000,0,false
G52,Cubic meter/day ( m3/d ),G52,M3D,VOLFLO,6666672,1000000000,0,false
MQS,Cubic meter/second ( m3/s ),MQS,M3S,VOLFLO,1,1,0,true
E32,Liter per hour ( L/hr ),E32,LPH,VOLFLO,2778,10000000000,0,false
L2,Liter/Minute ( l/min ),L2,L2,VOLFLO,1667,100000000,0,false
